sonnet_num,line,neg,neu,pos,compound,Verbs,Nouns,Adverbs,Corpus
11.0,"As fast as thou shalt wane, so fast thou grow'st,
In one of thine, from that which thou departest,
And that fresh blood which youngly thou bestow'st
Thou mayst call thine, when thou from youth convertest.
Herein lives wisdom, beauty, and increase,
Without this, folly, age, and cold decay.
If all were minded so, the times should cease,
And threescore year would make the world away.
Let those whom nature hath not made for store,
Harsh, featureless, and rude, barrenly perish:
Look whom she best endow'd she gave the more;
Which bounteous gift thou shouldst in bounty cherish.
She carv'd thee for her seal, and meant thereby,
Thou shouldst print more, not let that copy die.",0.09,0.754,0.156,0.8505,live increase should cease would make let make perish look give carv'd mean shouldst let die,thine blood call youth convertest wisdom beauty folly age decay time threescore year world nature store featureless gift bounty cherish seal print copy,as fast so fast youngly when so away barrenly best thereby more,fast thou shalt wane fast thou grow st thine thou depart fresh blood youngly thou bestow st Thou mayst thine thou youth convertest live wisdom beauty increase folly age cold decay minded time cease threescore year world away let nature hath store Harsh featureless rude barrenly perish look best endow d give bounteous gift thou shouldst bounty cherish carv d thee seal mean Thou shouldst print let copy die 
12.0,"When I do count the clock that tells the time,
And see the brave day sunk in hideous night;
When I behold the violet past prime,
And sable curls all silver'd o'er with white;
When lofty trees I see barren of leaves,
Which erst from heat did canopy the herd,
And summer's green all girded up in sheaves
Borne on the bier with white and bristly beard:
Then of thy beauty do I question make
That thou among the wastes of time must go,
Since sweets and beauties do themselves forsake,
And die as fast as they see others grow,
And nothing 'gainst Time's scythe can make defense
Save breed, to brave him when he takes thee hence.",0.03,0.804,0.166,0.9517,count tell see sink behold silver'd see canopy gird question make must go forsake die see grow can make save brave take,clock time day night violet prime curl o'er tree barren leave erst heat herd summer sheaf bier beard beauty waste time sweet beauty other gainst scythe defense breed,when when when bristly then as fast when hence,count clock tell time brave day sink hideous night behold violet past prime sable curl silver d o er white lofty tree barren leave erst heat canopy herd summer green gird sheaf Borne bier white bristly beard thy beauty question thou waste time sweet beauty forsake die fast grow gainst Time scythe defense save breed brave take thee 
13.0,"O that you were yourself! But, love, you are
No longer yours than you yourself here live:
Against this coming end you should prepare,
And your sweet semblance to some other give.
So should that beauty which you hold in lease
Find no determination; then you were
Yourself again after yourself's decease,
When your sweet issue your sweet form should bear.
Who lets so fair a house fall to decay,
Which husbandry in honor might uphold
Against the stormy gusts of winter's day
And barren rage of death's eternal cold?
O, none but unthrifts: dear my love, you know
You had a father, let your son say so.",0.113,0.61,0.277,0.9826,love live come should prepare should hold find should bear let fair decay may uphold dear know let say,end semblance give beauty lease determination decease issue form house fall husbandry honor gust winter day rage death cold none unthrift love father son,no longer here so then again when so so,o love longer live come end prepare sweet semblance beauty hold lease find determination decease sweet issue sweet form bear let fair house fall decay husbandry honor uphold stormy gust winter day barren rage death eternal cold o unthrift dear love know father let son 
14.0,"Not from the stars do I my judgment pluck,
And yet methinks I have astronomy,
But not to tell of good or evil luck,
Of plagues, of dearths, or seasons' quality;
Nor can I fortune to brief minutes tell,
'Pointing to each his thunder, rain, and wind,
Or say with princes if it shall go well
By oft predict that I in heaven find.
But from thine eyes my knowledge I derive,
And, constant stars, in them I read such art
As truth and beauty shall together thrive
If from thyself to store thou wouldst convert;
Or else of thee this I prognosticate,
Thy end is truth's and beauty's doom and date.",0.092,0.732,0.176,0.9022,methink tell can fortune tell point say shall go predict find derive read shall thrive store prognosticate,star judgment pluck astronomy luck plague dearth season quality minute thunder rain wind prince eye knowledge star art truth beauty thee end truth beauty doom date,yet well oft together else,star judgment pluck methink astronomy tell good evil luck plague dearth season quality fortune brief minute tell point thunder rain wind prince shall oft predict heaven find thine eye knowledge derive constant star read art truth beauty shall thrive thyself store thou wouldst convert thee prognosticate Thy end truth beauty doom date 
15.0,"When I consider every thing that grows
Holds in perfection but a little moment;
That this huge stage presenteth nought but shows
Whereon the stars in secret influence comment;
When I perceive that men as plants increase,
Cheered and check'd even by the self-same sky,
Vaunt in their youthful sap, at height decrease,
And wear their brave state out of memory:
Then the conceit of this inconstant stay
Sets you most rich in youth before my sight,
Where wasteful Time debateth with Decay
To change your day of youth to sullied night,
And all in war with Time for love of you,
As he takes from you, I ingraft you new.",0.065,0.704,0.231,0.975,consider grow hold show perceive check'd wear set debateth change take ingraft,thing perfection moment stage nought star influence comment man plant increase self sky sap height decrease state memory conceit stay youth sight day youth night war love,when when even then most where,consider thing grow hold perfection little moment huge stage presenteth nought show Whereon star secret influence comment perceive man plant increase Cheered check d self sky Vaunt youthful sap height decrease wear brave state memory conceit inconstant stay set rich youth sight wasteful Time debateth Decay change day youth sullied night war Time love take ingraft new 
16.0,"But wherefore do not you a mightier way
Make war upon this bloody tyrant Time?
And fortify yourself in your decay
With means more blessed than my barren rhyme?
Now stand you on the top of happy hours,
And many maiden gardens, yet unset,
With virtuous wish would bear your living flowers,
Much liker than your painted counterfeit:
So should the lines of life that life repair
Which this time's pencil, or my pupil pen,
Neither in inward worth nor outward fair
Can make you live yourself in eyes of men.
To give away yourself keeps yourself still,
And you must live drawn by your own sweet skill.",0.124,0.692,0.184,0.8849,make fortify stand would bear paint should Can make live give keep must live draw,wherefore way war tyrant time decay mean rhyme top hour garden wish living flower liker counterfeit line life life repair time pencil pupil pen eye man skill,more now so away still,wherefore mightier way war bloody tyrant time fortify decay mean blessed barren rhyme stand happy hour maiden garden unset virtuous wish bear living flower liker paint counterfeit line life life repair time pencil pupil pen inward worth outward fair live eye man away keep live draw sweet skill 
17.0,"Who will believe my verse in time to come
If it were fill'd with your most high deserts?
Though yet heaven knows it is but as a tomb
Which hides your life, and shows not half your parts.
If I could write the beauty of your eyes,
And in fresh numbers number all your graces,
The age to come would say, ""This poet lies,
Such heavenly touches ne'er touch'd earthly faces.""
So should my papers (yellowed with their age)
Be scorn'd, like old men of less truth than tongue,
And your true rights be term'd a poet's rage,
And stretched metre of an antique song:
But were some child of yours alive that time,
You should live twice, in it and in my rhyme.",0.07,0.71,0.22,0.9715,will believe come know hide show could write come would say lie should yellow stretch should live,verse time fill'd desert tomb life part beauty eye number number grace age poet touch face paper age man truth tongue right poet rage song child your time rhyme,most so twice,believe verse time come fill d high desert heaven know tomb hide life show half part write beauty eye fresh number number grace age come poet lie heavenly touch ne er touch d earthly face paper yellow age scorn d like old man truth tongue true right term d poet rage stretch metre antique song child alive time live twice rhyme 
18.0,"Shall I compare thee to a summer's day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summer's lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd,
And every fair from fair sometime declines,
By chance or nature's changing course untrimm'd:
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow'st,
Nor shall Death brag thou wand'rest in his shade,
When in eternal lines to time thou grow'st.
So long as men can breathe or eyes can see,
So long lives this, and this gives life to thee.",0.03,0.816,0.154,0.9234,Shall compare shake darle shine change shall fade lose shall brag can breathe can see live give,summer day art wind bud summer lease hath date eye complexion dimm'd fair sometime decline chance nature course summer possession death shade line man eye life,more more too sometime too often when so long so long,Shall compare thee summer day Thou art lovely temperate rough wind shake darle bud summer lease hath short date hot eye heaven shine gold complexion dimm d fair fair decline chance nature change course untrimm d thy eternal summer shall fade lose possession fair thou ow st shall death brag thou wand rest shade eternal line time thou grow st long man breathe eye long live give life thee 
19.0,"Devouring Time, blunt thou the lion's paws,
And make the earth devour her own sweet brood;
Pluck the keen teeth from the fierce tiger's jaws,
And burn the long-liv'd phoenix in her blood;
Make glad and sorry seasons as thou fleet'st,
And do what e'er thou wilt, swift-footed Time,
To the wide world and all her fading sweets:
But I forbid thee one most heinous crime,
O, carve not with thy hours my love's fair brow,
Nor draw no lines there with thine antique pen;
Him in thy course untainted do allow,
For beauty's pattern to succeeding men.
Yet do thy worst, old Time: despite thy wrong,
My love shall in my verse ever live young.",0.103,0.697,0.2,0.9,make devour Pluck burn make foot forbid carve draw allow succeed shall live,lion paws earth brood tooth tiger jaw liv'd phoenix blood season swift world sweet crime hour love brow line thine course beauty pattern man thy wrong love verse,most there yet ever,Devouring Time blunt thou lion paws earth devour sweet brood Pluck keen tooth fierce tiger jaw burn long liv d phoenix blood glad sorry season thou fleet st e er thou wilt swift foot Time wide world fading sweet forbid thee heinous crime o carve thy hour love fair brow draw line thine antique pen thy course untainted allow beauty pattern succeed man thy bad old Time despite thy wrong love shall verse live young 
20.0,"A woman's face with Nature's own hand painted
Hast thou, the master mistress of my passion;
A woman's gentle heart but not acquainted
With shifting change as is false women's fashion;
An eye more bright than theirs, less false in rolling,
Gilding the object whereupon it gazeth;
A man in hue all hues in his controlling,
Which steals men's eyes and women's souls amazeth.
And for a woman wert thou first created,
Till Nature as she wrought thee fell a-doting,
And by addition me of thee defeated,
By adding one thing to my purpose nothing.
But since she prick'd thee out for women's pleasure,
Mine be thy love, and thy love's use their treasure.",0.064,0.746,0.19,0.9422,paint acquaint shift gild gazeth steal create work fall defeat add thee use,woman face hand master mistress passion woman heart change woman fashion eye rolling object whereupon man hue controlling man eye woman soul woman wert doting addition thing purpose woman pleasure love love treasure,more less first prick'd,woman face Nature hand paint Hast thou master mistress passion woman gentle heart acquaint shift change false woman fashion eye bright theirs false rolling gild object gazeth man hue hue controlling steal man eye woman soul amazeth woman wert thou create till Nature work thee fall doting addition thee defeat add thing purpose prick d thee woman pleasure thy love thy love use treasure 
21.0,"So is it not with me as with that Muse
Stirr'd by a painted beauty to his verse,
Who heaven itself for ornament doth use,
And every fair with his fair doth rehearse,
Making a couplement of proud compare
With sun and moon, with earth and sea's rich gems,
With April's first-born flowers, and all things rare
That heaven's air in this huge rondure hems.
O, let me, true in love, but truly write,
And then believe me, my love is as fair
As any mother's child, though not so bright
As those gold candles fix'd in heaven's air:
Let them say more that like of hearsay well,
I will not praise that purpose not to sell.",0.056,0.69,0.254,0.9726,paint make bear let write believe fix'd let say will praise sell,beauty verse doth use fair doth rehearse couplement compare sun moon earth sea gem flower thing air rondure hem love love mother child gold candle air purpose,first truly then as so,Muse Stirr d paint beauty verse heaven ornament doth use fair fair doth rehearse make couplement proud compare sun moon earth sea rich gem April bear flower thing rare heaven air huge rondure hem o let true love truly write believe love fair mother child bright gold candle fix d heaven air let like hearsay praise purpose sell 
22.0,"My glass shall not persuade me I am old,
So long as youth and thou are of one date,
But when in thee time's furrows I behold,
Then look I death my days should expiate.
For all that beauty that doth cover thee
Is but the seemly raiment of my heart,
Which in thy breast doth live, as thine in me:
How can I then be elder than thou art?
O, therefore, love, be of thyself so wary
As I, not for myself, but for thee will,
Bearing thy heart, which I will keep so chary
As tender nurse her babe from faring ill.
Presume not on thy heart when mine is slain,
Thou gav'st me thine not to give back again.",0.068,0.849,0.083,0.4497,shall persuade behold look should expiate live can will bear will keep fare presume slay gav'st give,glass youth date time furrow death day beauty doth cover raiment heart breast doth thine love heart tender nurse babe heart thine,so long when then how then therefore so so ill when back again,glass shall persuade old long youth thou date thee time furrow behold look death day expiate beauty doth cover thee seemly raiment heart thy breast doth live thine eld thou art o love thyself wary thee bear thy heart chary tender nurse babe fare ill presume thy heart slay Thou gav st thine 
23.0,"As an unperfect actor on the stage,
Who with his fear is put besides his part,
Or some fierce thing replete with too much rage,
Whose strength's abundance weakens his own heart,
So I, for fear of trust, forget to say
The perfect ceremony of love's rite,
And in mine own love's strength seem to decay,
O'ercharg'd with burden of mine own love's might.
O, let my books be then the eloquence
And dumb presagers of my speaking breast,
Who plead for love, and look for recompense,
More than that tongue that more hath more express'd.
O, learn to read what silent love hath writ:
To hear with eyes belongs to love's fine wit.",0.161,0.697,0.142,-0.1779,put weaken forget say seem decay let speak plead look learn read hear belong love,actor stage fear part thing rage strength abundance heart fear trust ceremony love rite love strength burden love might book eloquence presager breast love recompense tongue hath express'd love writ eye wit,too so then,unperfect actor stage fear fierce thing replete rage strength abundance weaken heart fear trust forget perfect ceremony love rite love strength decay O ercharg d burden love o let book eloquence dumb presager speak breast plead love look recompense tongue hath express d o learn read silent love hath writ hear eye belong love fine wit 
24.0,"Mine eye hath play'd the painter and hath stell'd
Thy beauty's form in table of my heart;
My body is the frame wherein 'tis held,
And perspective it is best painter's art.
For through the painter must you see his skill,
To find where your true image pictur'd lies,
Which in my bosom's shop is hanging still,
That hath his windows glazed with thine eyes.
Now see what good turns eyes for eyes have done:
Mine eyes have drawn thy shape, and thine for me
Are windows to my breast, wherethrough the sun
Delights to peep, to gaze therein on thee.
Yet eyes this cunning want to grace their art,
They draw but what they see, know not the heart.",0.015,0.894,0.091,0.765,hold perspective must see find hang hath glaze see turn do draw thine peep gaze want grace draw see know,eye hath painter hath beauty form table heart body frame painter art painter skill image lie bosom shop window eye eye eye eye shape window breast sun eye art heart,wherein where still now wherethrough therein,eye hath play d painter hath stell d Thy beauty form table heart body frame tis hold perspective good painter art painter skill find true image pictur d lie bosom shop hang hath window glaze thine eye good turn eye eye eye draw thy shape thine window breast wherethrough sun Delights peep gaze thee eye cunning want grace art draw know heart 
25.0,"Let those who are in favor with their stars
Of public honor and proud titles boast,
Whilst I whom fortune of such triumph bars
Unlook'd for joy in that I honor most.
Great princes' favorites their fair leaves spread
But as the marigold at the sun's eye,
And in themselves their pride lies buried,
For at a frown they in their glory die.
The painful warrior famoused for fight,
After a thousand victories once foil'd,
Is from the book of honor rased quite,
And all the rest forgot for which he toil'd.
Then happy I that love and am beloved
Where I may not remove, nor be removed.",0.113,0.575,0.312,0.9768,let boast honor favorite spread bury famouse rase forget love may remove remove,favor star honor title fortune triumph bar joy prince leave marigold sun eye pride lie frown glory die warrior fight victory foil'd book rest,most once quite then where,let favor star public honor proud title boast Whilst fortune triumph bar Unlook d joy honor great prince favorite fair leave spread marigold sun eye pride lie bury frown glory die painful warrior famouse fight thousand victory foil d book honor rase rest forget toil d happy love beloved remove remove 
26.0,"Lord of my love, to whom in vassalage
Thy merit hath my duty strongly knit,
To thee I send this written ambassage
To witness duty, not to show my wit;
Duty so great, which wit so poor as mine
May make seem bare, in wanting words to show it,
But that I hope some good conceit of thine
In thy soul's thought (all naked) will bestow it;
Till whatsoever star that guides my moving
Points on me graciously with fair aspect,
And puts apparel on my tattered loving,
To show me worthy of thy sweet respect:
Then may I dare to boast how I do love thee,
Till then, not show my head where thou mayst prove me.",0.017,0.667,0.316,0.9932,hath knit send write show May make seem want show hope will bestow star guide move put tattere show may dare boast love show prove,love vassalage merit duty ambassage witness duty wit wit mine word conceit thine soul thought point aspect apparel loving respect head,strongly so so whatsoever graciously then how then where,Lord love vassalage Thy merit hath duty strongly knit thee send write ambassage witness duty wit Duty great wit poor bare want word hope good conceit thine thy soul thought naked bestow till whatsoever star guide move point graciously fair aspect put apparel tattere loving worthy thy sweet respect dare boast love thee till head thou mayst prove 
27.0,"Weary with toil, I haste me to my bed,
The dear repose for limbs with travel tired,
But then begins a journey in my head
To work my mind, when body's work's expired;
For then my thoughts (from far where I abide)
Intend a zealous pilgrimage to thee,
And keep my drooping eyelids open wide,
Looking on darkness which the blind do see;
Save that my soul's imaginary sight
Presents thy shadow to my sightless view,
Which like a jewel hung in ghastly night,
Makes black night beauteous, and her old face new.
Lo thus by day my limbs, by night my mind,
For thee, and for myself, no quiet find.",0.098,0.751,0.151,0.8294,haste repose begin work expire abide intend keep open look see save hang make,toil bed dear limb travel journey head mind body work thought pilgrimage drooping eyelid darkness soul sight present shadow sightless view jewel night night face day limb night mind find,then when then far where wide ghastly thus,weary toil haste bed dear repose limb travel tired begin journey head work mind body work expire thought far abide intend zealous pilgrimage thee drooping eyelid open wide look darkness blind save soul imaginary sight present thy shadow sightless view like jewel hang ghastly night make black night beauteous old face new Lo day limb night mind thee quiet find 
28.0,"How can I then return in happy plight
That am debarr'd the benefit of rest?
When day's oppression is not eas'd by night,
But day by night and night by day oppress'd;
And each (though enemies to either's reign)
Do in consent shake hands to torture me,
The one by toil, the other to complain
How far I toil, still farther off from thee.
I tell the day, to please him, thou art bright,
And dost him grace when clouds do blot the heaven;
So flatter I the swart-complexion'd night,
When sparkling stars twire not thou gild'st th' even:
But day doth daily draw my sorrows longer,
And night doth nightly make grief's length seem stronger.",0.126,0.667,0.207,0.8689,can return shake torture complain toil tell please dost blot flatter sparkle draw make seem,plight benefit rest day oppression night day night night day enemy reign consent hand toil day grace cloud swart complexion'd night star day doth sorrow night doth grief length,how then when how far still farther when so when even longer nightly,return happy plight debarr d benefit rest day oppression eas d night day night night day oppress d enemy reign consent shake hand torture toil complain far toil farther thee tell day thou art bright dost grace cloud blot heaven flatter swart complexion d night sparkle star twire thou gild st th day doth daily draw sorrow longer night doth nightly grief length strong 
29.0,"When in disgrace with Fortune and men's eyes
I all alone beweep my outcast state,
And trouble deaf heaven with my bootless cries,
And look upon myself and curse my fate,
Wishing me like to one more rich in hope,
Featur'd like him, like him with friends possess'd,
Desiring this man's art, and that man's scope,
With what I most enjoy contented least;
Yet in these thoughts myself almost despising,
Haply I think on thee, and then my state
(Like to the lark at break of day arising
From sullen earth) sings hymns at heaven's gate,
For thy sweet love rememb'red such wealth brings,
That then I scorn to change my state with kings.",0.151,0.588,0.261,0.9479,beweep look curse wish desire enjoy content despise think arise sing rememb're bring scorn change,disgrace man eye outcast state trouble bootless cry fate hope friend possess'd man art man scope thought state lark break day hymn gate love wealth state king,when all alone more most almost then then,disgrace Fortune man eye beweep outcast state trouble deaf heaven bootless cry look curse fate wish like rich hope Featur d like like friend possess d desire man art man scope enjoy content thought despise Haply think thee state like lark break day arise sullen earth sing hymn heaven gate thy sweet love rememb re wealth bring scorn change state king 
